player_id,name,nationality,club,league,season,era,positions,goals,npxG,shots,shots_on_target,xG_per_shot,big_chances,assists,xA,key_passes,through_balls,chances_created,progressive_passes,progressive_carries,carries_into_box,passes_into_box,touches,possession_won,possession_lost,tackles,interceptions,blocks,clearances,pressures,counterpressures,saves,save_percentage,goals_prevented,possession_value,ball_progression_value,attacking_value,defensive_value,minutes,position_role,position_group,attack_score,creation_score,progression_score,defense_score,goalkeeper_score,attack_norm,creation_norm,progression_norm,defense_norm,goalkeeper_norm,AttackIoG,CreationIoG,ProgressionIoG,DefensiveIoG,GoalkeeperIoG,iog_raw,iog,position_percentile,rank_tier
35285,Mory Konaté,,Guinea,African Cup of Nations,2023,2020s,['CDM'],0,0.0,0,0,0.0,0,0,0.0,0,0,49,0,0,0,1,0,2,5,0,2,6,4,27,0,0,0.0,0.0,-1.4,1.2,0.0,25.5,96,CDM,CDM,0.0,53.900000000000006,1.2,29.2,0.0,-0.3872968012749824,-0.44488360920379616,-0.3351193600637793,0.06458282007246868,-0.38185977859659026,9.336806066902325,15.69095896451779,15.493920848574009,29.43669245295506,19.44345672421158,-0.19692086950140292,45.45454545454545,44.44444444444444,Top 50%
3405,François Kamano,,Guinea,African Cup of Nations,2023,2020s,['LM' 'LW'],0,0.044511724,1,0,0.044511724,0,0,0.0,0,0,13,0,0,1,1,0,0,3,0,0,2,0,10,0,1,100.0,0.0,-1.7999999999999998,2.5,0.05786524120000001,7.0,97,WINGER,WINGER,0.1424375168,14.3,2.8,8.0,182.5,-0.7135252984494196,-0.8800254575574341,-0.8469950369038795,-0.9010860771797188,1.07419557987642,5.739158174205906,10.30766760809527,9.120260820303196,13.451403995102845,44.80723111259919,-0.8128943066546768,9.482758620689655,9.149277688603531,Top 10%
3141,André-Frank Zambo Anguissa,,Cameroon,African Cup of Nations,2023,2020s,['CDM' 'CM'],0,0.20195088,1,0,0.20195088,0,0,0.0,0,0,193,0,0,18,17,0,5,23,0,5,6,10,73,0,0,0.0,0.0,-9.799999999999999,43.8,0.262536144,57.5,100,CM,CM,0.646242816,212.3,49.2,67.3,0.0,-0.12675390954954163,1.7756628626536732,3.0128797929212974,1.705411750209919,-0.5258463403529703,12.210073097501,43.16211273589673,57.18179417710376,56.598304298248195,16.935281024643107,1.9092760499281085,96.66666666666667,95.85987261146497,Top 99%
406457,Facinet Conte,,Guinea,African Cup of Nations,2023,2020s,['CM' 'LM' 'LW' 'RM'],0,0.42035304,2,0,0.21017652,0,0,0.0,0,0,28,0,0,6,3,0,0,9,0,0,3,2,29,0,1,100.0,0.0,-5.3999999999999995,11.4,0.546458952,19.3,98,WINGER,WINGER,1.092917904,30.800000000000004,13.200000000000001,22.4,182.5,-0.349584696337368,-0.6218609174058601,-0.4042676484633075,-0.24989018580609154,1.07419557987642,9.75269516314338,13.501511047403591,14.63291552689882,24.231034773101424,44.80723111259919,-0.44268772276913365,36.206896551724135,35.95505617977528,Top 50%
176683,Ibrahim Diakité,,Guinea,African Cup of Nations,2023,2020s,['RB'],0,0.079464234,1,0,0.079464234,0,1,0.0,0,0,153,0,0,25,19,0,2,31,0,2,5,5,37,0,1,100.0,0.0,-16.999999999999996,55.3,0.1033035042,30.4,98,FB,FB,0.2542855488,170.8,62.8,35.2,182.5,-0.2829065798427134,0.49473372808831667,2.367417284425757,0.03899013090140527,2.788866755113584,10.48802143713131,27.315292292436578,49.14476726552703,29.01304153080595,74.67596693085552,0.9128986829978988,83.54430379746836,82.90816326530613,Top 90%
62627,Junior Tchamadeu,,Cameroon,African Cup of Nations,2023,2020s,['RB' 'RM' 'RW'],0,0.0,0,0,0.0,0,0,0.0,0,0,10,0,0,1,2,0,0,3,0,0,0,0,7,0,0,0.0,0.0,-1.7999999999999998,3.7,0.0,3.5,97,WINGER,WINGER,0.0,11.0,4.0,4.2,0.0,-0.7680648726748787,-0.9316583655877488,-0.795911107468429,-1.072929437403315,-0.9171109372850345,5.137695745324762,9.668898920233607,9.75633636337192,10.606779206464331,10.119642522302302,-0.8407400192232266,8.620689655172415,8.346709470304976,Top 10%
28444,Oumar Gonzalez,,Cameroon,African Cup of Nations,2023,2020s,['CB'],0,0.0,0,0,0.0,0,0,0.0,0,0,44,0,0,0,0,0,0,4,0,0,1,7,10,0,0,0.0,0.0,-2.4,0.0,0.0,12.3,97,CB,CB,0.0,48.400000000000006,0.0,14.0,0.0,-0.5081416889009919,-1.1381660266114173,-0.6513812608090788,-1.1059991206529247,-0.39056257428244795,8.00412863658458,7.114120723583856,11.555961053944138,10.05935717862536,19.291858266749205,-0.9357756031126192,14.705882352941178,14.117647058823529,Top 25%
8012,José Kanté Martínez,,Guinea,African Cup of Nations,2023,2020s,['ST'],0,0.0,0,0,0.0,0,0,0.0,0,0,8,0,0,1,1,0,0,1,0,0,0,0,10,0,0,0.0,0.0,-0.6,2.5,0.0,5.0,98,ST,ST,0.0,8.8,2.8,6.0,0.0,-0.8281428760885152,-0.9872470435595849,-0.9486045064676681,-0.9807628310001324,-1.1452586134999518,4.475155518917422,8.981192024716766,7.855062562299573,12.132467559613643,6.145421244878711,-0.8936191602587364,6.756756756756757,5.521472392638037,Top 10%
4352,Issiaga Sylla,,Guinea,African Cup of Nations,2023,2020s,['CDM' 'LB'],0,0.037500933,1,0,0.037500933,0,0,0.0,0,0,169,0,0,1,0,0,3,33,0,3,5,16,35,0,0,0.0,0.0,-17.4,1.3,0.0487512129,40.5,97,CDM,CDM,0.1200029856,185.9,1.6,46.5,0.0,-0.2847736904231583,1.2932796686024468,-0.2360249256363176,0.7274798351636634,-0.38185977859659026,10.467430941502178,37.194382238716315,16.727802949855633,40.41001885316801,19.44345672421158,0.37389779134080536,74.54545454545455,72.51461988304094,Top 75%
34293,Faris Pemi Moumbagna,,Cameroon,African Cup of Nations,2023,2020s,['RM' 'ST'],0,0.0,0,0,0.0,0,0,0.0,0,0,7,0,0,1,2,0,1,1,0,1,2,1,4,0,0,0.0,0.0,0.20000000000000007,3.7,0.0,6.1000000000000005,101,ST,ST,0.0,7.700000000000001,4.0,6.9,0.0,-0.8281428760885152,-1.019804637590193,-0.8721374765345447,-0.9303625188515146,-1.1452586134999518,4.475155518917422,8.578410689862373,8.807197766640575,12.966773738837148,6.145421244878711,-0.887768488668989,8.108108108108109,7.668711656441718,Top 10%
